name,type,locations,start_date,end_date,url
Vietnam War,wars,"VN,US",1955-11-01,1975-04-30,https://en.wikipedia.org/wiki/Vietnam_War
Watergate,politics,US,1973-03-23,1974-08-09,https://en.wikipedia.org/wiki/Watergate
OPEC oil embargo,economy & society,"DZ,IR,IQ,KW,LY,SA,QA,AE,VE",1973-10-01,1974-03-01,http://en.wikipedia.org/wiki/1973_oil_crisis
Angolan Civil War,wars,AO,1975-11-11,2002-04-04,https://en.wikipedia.org/wiki/Angolan_Civil_War
Yom Kippur War,wars,"IL,LB,EG,SY",1973-10-06,1973-10-25,http://en.wikipedia.org/wiki/Yom_Kippur_War
Khmer Rouge rule of Cambodia,politics,KH,1975-04-01,1979-01-07,http://en.wikipedia.org/wiki/Khmer_Rouge_rule_of_Cambodia
Derg rule in Ethiopia,politics,ET,1974-09-12,1987-02-22,http://en.wikipedia.org/wiki/Derg
Lebanese Civil War,wars,LB,1975-04-13,1990-10-13,http://en.wikipedia.org/wiki/Lebanese_Civil_War
Regime of the Colonels in Greece,politics,GR,1967-04-21,1974-07-15,http://en.wikipedia.org/wiki/Greek_military_junta_of_1967%E2%80%931974
Turkish invasion of Cyprus,wars,"CY,TR",1974-07-20,1974-08-18,http://en.wikipedia.org/wiki/Turkish_invasion_of_Cyprus
Franco rules Spain,politics,ES,1936-10-01,1975-11-20,http://en.wikipedia.org/wiki/Francoist_Spain
World population passes the 4 billion mark,economy & society,WORLD,1974-01-01,1974-01-01,http://en.wikipedia.org/wiki/World_population#Milestones_by_the_billions
Kraftwerk releases Autobahn,popular culture,DE,1974-11-01,1974-11-01,http://en.wikipedia.org/wiki/Autobahn_%28album%29
West Germany wins the football world cup,popular culture,DE,1974-07-07,1974-07-07,http://en.wikipedia.org/wiki/1974_FIFA_World_Cup
First Concorde flight takes off,economy & society,FR,1976-01-21,1976-01-21,http://en.wikipedia.org/wiki/Concorde
Military dictatorship in Argentina,politics,AR,1976-03-24,1983-01-01,http://en.wikipedia.org/wiki/1976_Argentine_coup
"Banqiao Dam fails and kills 200,000 people",economy & society,CN,1975-08-07,1975-08-07,http://en.wikipedia.org/wiki/Banqiao_Dam
Helsinki Act is signed,politics,"SU,DD,BG,HU,PL,RO,CS,YU",1975-08-01,1975-08-01,http://en.wikipedia.org/wiki/Helsinki_Final_Act
Sholay premieres,popular culture,IN,1975-08-15,1975-08-15,http://en.wikipedia.org/wiki/Sholay
Tokyo round of GATT negotiations opens,economy & society,WORLD,1973-09-14,1973-09-14,http://worldtradereview.com/webpage.asp?wID=438
